	token	index
3	영화	9812
5	10	8541
24	어요	2227
25	음악	2122
27	너무	2088
35	습니다	1592
39	네요	1497
41	지만	1445
42	ㅂ니다	1399
44	는데	1290
45	마지막	1287
46	최고	1243
47	사랑	1162
51	노래	1073
52	아름답	1066
54	어서	1049
55	으로	1042
56	뮤지컬	1038
58	에서	1029
60	정말	1025
61	인생	1007
65	여운	895
66	생각	892
67	재밌	879
70	스토리	863
73	지루	823
77	ㄴ다	751
78	장면	709
79	영상미	708
81	사람	698
84	아니	655
85	아요	624
86	슬프	609
89	진짜	589
91	결말	579
93	느낌	563
95	까지	551
96	나오	543
97	영상	543
98	아서	542
99	현실	540
100	처음	533
101	기대	526
103	감동	508
106	배우	497
107	연기	491
109	재즈	473
110	면서	473
111	다시	470
112	랜드	465
113	보다	452
114	만들	447
117	그냥	437
119	중간	433
120	눈물	422
122	엔딩	416
123	내용	414
126	좋아하	400
128	시간	393
132	모르	370
133	내내	369
134	실적	369
135	연출	366
138	행복	362
139	마음	361
141	감독	358
143	재미있	354
144	대하	351
145	예쁘	348
147	남자	344
150	ㄴ데	341
151	부터	341
152	평점	340
154	끝나	339
157	모든	333
159	슬링	329
160	라이	329
163	가슴	324
164	많이	324
166	이야기	321
167	에게	318
169	추천	316
171	다가	313
172	ㄴ지	313
173	못하	304
174	주인공	303
175	모두	302
176	감정	300
177	즐겁	297
178	계속	297
179	한번	297
181	스톤	291
183	올해	289
186	그렇	285
187	위하	285
188	아쉽	285
189	부분	284
190	여자	282
191	느끼	278
193	색감	276
195	멋지	268
196	라고	268
197	감동적	268
198	이루	266
199	완벽	260
201	스럽	259
202	서로	259
204	아름	258
206	하나	256
208	조금	253
210	기분	250
214	친구	246
215	그리하	244
216	라는	243
217	듯하	242
218	재미	240
219	우리	238
221	으면	234
224	다는	227
226	정도	221
227	아도	220
231	이쁘	215
232	ㄴ가	213
233	이런	213
235	빠지	206
236	별로	205
237	그리고	204
238	황홀	203
239	피아노	201
241	눈빛	200
242	만하	198
243	보고	197
245	함께	195
246	너무나	195
247	꿈꾸	194
248	이렇	193
249	이상	192
251	다고	188
252	그리	188
254	몰입	187
255	는지	186
256	이해	186
257	기억	186
258	세요	184
259	처럼	183
260	초반	182
262	공감	181
263	ost	179
265	작품	178
266	아야	178
267	오랜만	177
269	무엇	175
270	로맨스	173
271	개인적	171
272	없이	171
274	아깝	170
275	동화	169
276	ㄹ까	169
278	으나	168
279	괜찮	167
280	배경	166
281	생각나	165
282	하지만	165
283	이랑	163
285	가장	161
286	영화관	161
287	강추	160
288	다면	159
289	표현	157
290	말하	156
291	아직	156
293	환상적	155
294	버리	154
296	해지	153
297	미아	153
298	지금	152
300	잔잔	152
301	번째	150
303	이나	149
306	어야	148
307	너무너무	148
308	때문	146
310	관람	146
312	열정	146
313	전개	145
314	같이	145
315	시작	144
318	뻔하	141
319	재미없	140
320	호불호	140
321	약간	139
325	아프	137
326	을까	137
327	플래쉬	137
328	하다	136
329	이것	136
330	특히	136
331	아주	135
335	만큼	134
337	그러	134
338	연인	133
339	자체	131
341	혼자	131
343	예술	130
344	순간	128
345	오프닝	128
346	여도	128
347	에요	127
348	마법	127
354	가지	121
355	다른	121
358	음악도	119
359	모습	118
362	미소	117
363	한편	117
364	연주	117
365	해피엔딩	116
366	감성	115
367	취향	115
368	갈리	115
369	보여주	114
372	극장	113
373	아련	113
374	2016	113
375	남기	113
376	환상	112
377	만나	112
378	여주	112
379	먹먹	111
380	상상	111
381	어도	110
383	결국	110
384	훌륭	110
385	후회	110
387	ㄴ다면	108
388	보이	108
391	완전	107
392	따뜻	106
393	그런	106
394	OST	106
396	기에	105
398	진부	104
399	남녀	104
400	구성	104
401	분위기	103
402	볼만	102
404	느껴지	102
405	잊히	101
407	라면	100
408	화면	100
409	크리스마스	99
411	다르	99
412	낭만	99
413	미치	98
414	맴돌	98
415	밖에	98
416	선택	97
420	대사	95
421	흐르	94
423	나가	93
424	최악	93
425	힘들	93
426	만족	93
427	비기	93
428	솔직히	93
429	어게인	91
431	은데	90
432	있다	90
433	흘러가	89
435	보시	88
436	역시	87
437	씁쓸	87
438	ㄹ지	87
439	매력	87
440	나쁘	86
441	살짝	86
445	소리	84
446	졸리	84
447	성공	84
448	어울리	83
449	그저	82
450	집중	82
451	향하	82
454	잘하	81
456	고민	81
457	자신	81
459	시키	80
460	중반	80
461	동안	80
463	사이	80
465	안되	78
467	명작	77
468	관객	76
469	소름	76
470	바보	76
471	부족	76
473	실망	76
474	매우	75
479	그래서	75
480	마다	74
481	필요	74
482	신선	74
483	화려	74
484	of	74
485	갈수록	74
486	플래시	73
487	추억	73
488	이유	73
489	슬픔	73
490	어느	72
491	이후	72
492	감사	72
493	빠져들	72
494	진심	71
497	대로	71
498	박수	71
501	전체적	70
502	반전	70
503	이렇게	70
504	개연성	69
505	근데	69
507	매력적	69
509	신나	68
510	마무리	68
511	와닿	68
513	알바	67
516	아쉬움	66
517	떠오르	66
518	ㄴ다는	66
519	요소	66
520	대박	66
521	회상	66
522	의미	66
523	간만	66
524	선율	66
525	누구	66
526	어떤	65
527	응원	65
528	멋있	65
531	지나	65
532	댄스	65
534	판타지	64
536	이루어지	64
537	더라	64
538	장르	64
541	그것	63
545	구요	61
546	감탄	61
547	여러	61
548	거나	61
549	호강	61
550	각자	61
551	포기	61
552	가시	60
555	무슨	60
557	연애	60
558	아름다움	60
559	후반부	60
560	제일	60
562	조화	59
565	흘리	58
566	나름	58
567	한국	58
568	헤어지	58
569	이거	58
570	여주인공	58
571	노력	58
572	어떻	58
573	엄청	58
574	울컥	58
575	필요없	57
576	적인	57
578	춤추	57
579	라서	57
581	연말	57
582	어쩌	57
583	어우러지	56
584	20	56
585	부르	56
587	드리	56
588	있음	56
589	세상	56
591	청춘	55
592	사운드	55
593	대단	55
594	스타일	55
595	하나하나	55
596	지나가	54
597	얘기	54
599	따르	54
602	다만	53
603	보기	53
604	가득	53
606	그때	52
607	소장	52
608	원하	52
610	오래	52
612	달콤	52
613	안타깝	52
614	진하	52
617	과정	51
619	으면서	51
620	설레	51
623	이번	51
624	감상	51
625	얼마나	51
626	인상적	50
629	뛰어나	50
632	으며	50
633	다소	50
634	라도	50
635	커플	50
636	자기	50
637	다니	50
640	귀가	49
642	세바스찬	49
643	평범	49
644	굉장히	49
645	보세	48
646	과거	48
648	현실적	48
649	나의	48
650	또한	48
652	연기력	47
654	뭉클	47
655	최근	47
656	자리	47
657	려고	47
658	인상깊	47
659	마치	47
660	겨울	47
662	오디션	46
663	전혀	46
664	힐링	46
665	이제	46
666	개봉	46
667	니까	45
668	결혼	45
669	보내	45
671	반복	45
672	빛나	45
673	당신	45
674	후반	45
675	떨어지	44
677	노트북	44
678	타임	44
679	즐기	44
680	멜로디	44
681	사실	44
682	담기	44
683	자꾸	44
684	낭만적	44
685	루즈	44
687	어른	44
689	어렵	43
690	줄거리	43
691	위로	43
692	엄청나	43
693	펑펑	43
694	선물	42
695	이별	42
696	머리	42
698	들어가	42
701	아무	42
702	고전	42
704	더욱	42
708	어디	41
709	바라보	41
710	오히려	41
711	LA	41
712	만약	41
713	바로	41
714	city	41
715	놓치	41
716	그러나	41
717	천재	41
718	맘마	41
721	한테	40
723	유치	40
724	수준	40
726	경험	40
727	다음	40
728	더니	40
729	돋보이	40
732	남친	39
733	압권	39
734	갑자기	39
735	희망	39
737	평생	39
738	도록	39
740	덕분	39
741	짠하	39
742	유쾌	39
743	일어나	39
744	그닥	38
746	자마자	38
748	좋아지	38
750	눈물나	38
753	시절	38
754	단순	38
755	연출력	38
756	라구요	37
757	고는	37
759	교환	37
762	stars	37
764	구나	36
766	비슷	36
767	비하	36
768	상황	36
771	물론	36
773	동시	36
774	귓가	36
776	싫어하	36
780	하루	35
782	탄탄	35
785	울리	35
786	갈등	35
787	가볍	35
790	더라면	35
791	평가	34
792	애잔	34
794	시작하	34
795	ㅁ에도	34
796	ㄹ수록	34
798	전부	34
799	여기	34
800	ㄴ다고	34
801	고맙	34
802	그림	34
803	달달	34
804	나중	34
805	해보	34
807	떠나	34
810	무조건	34
811	누군가	34
813	옛날	33
815	제대로	33
816	꿈같	33
817	찡하	33
818	크레딧	33
819	벅차	33
820	역대	33
821	들이	33
823	인지	33
824	뮤직	33
825	드라마	33
826	어리	33
827	짜리	33
828	살아가	33
829	이야	33
830	멜로	33
831	비현	33
834	으니	33
835	주연	32
836	이란	32
837	흥얼거리	32
838	의상	32
839	가보	32
840	던데	32
841	로맨틱	32
842	항상	32
843	오랫만	32
844	잠들	32
845	쓰레기	32
847	표정	32
848	터지	32
849	편의	32
851	진행	32
853	중요	32
854	이어지	32
855	제가	32
856	절대	32
857	다하	32
858	수작	32
860	주가	32
861	테이크	32
862	뭐하	32
863	바라	31
864	가치	31
865	메세지	31
866	30	31
867	이러	31
868	미래	31
869	바뀌	31
870	이토록	31
872	감명깊	31
873	그녀	31
874	존재	31
877	놀랍	31
879	계절	31
880	생기	31
881	심장	31
882	예상	31
883	그런데	30
884	주고	30
886	마세	30
887	취하	30
888	거지	30
890	캐릭터	30
893	머릿속	30
895	올라가	30
896	등극	30
897	넘치	30
898	한마디	30
900	웃음	30
902	몽환적	29
903	첫사랑	29
904	아이	29
905	진영	29
906	오래가	29
907	돌아오	29
908	당황	29
909	기다리	29
911	메시지	29
912	돌아가	29
915	째즈	29
916	뜬금없	29
918	고요	29
919	놀라	29
920	도로	29
921	자연	29
922	도시	29
923	제목	29
924	주제	29
925	더군요	29
927	충분히	29
928	우드	29
929	근래	28
930	더라도	28
931	레미제라블	28
932	예매	28
933	바람	28
935	연극	28
936	더하	28
937	있었	28
938	내리	28
940	볼거리	28
941	결론	28
942	새롭	28
943	상영	28
944	잘되	28
945	언제	28
946	일단	28
947	만점	28
950	특별	28
951	이하	28
952	거기	28
953	정말로	28
955	젊은이	28
956	스크린	28
957	극찬	28
958	억지	28
959	몰르	27
960	사랑과	27
961	자극	27
962	용기	27
964	들리	27
967	미가	27
968	전반적	27
969	이미	27
970	한데	27
971	고자	27
972	단연	27
973	미국	27
974	먹먹하	27
975	여배우	27
976	지극히	27
977	흐름	27
978	어찌	27
979	충분	27
981	전달	26
982	끼리	26
983	후기	26
984	전율	26
985	은지	26
986	현재	26
987	가족	26
988	평소	26
989	흥미	26
990	100	26
991	글쎄	26
992	점점	26
994	오글거리	26
995	요즘	26
997	아이맥스	26
998	쓸쓸	26
999	평론가	26
1000	원래	26
1001	두고두고	26
1002	나라	26
1004	비추	26
1005	떠올리	26
1006	미장	25
1007	타협	25
1008	풍부	25
1009	OO	25
1010	벅차오르	25
1011	진정	25
1013	태어나	25
1014	교훈	25
1015	돌아보	25
1016	그럼	25
1017	실패	25
1019	애틋	25
1021	훨씬	25
1022	멈추	25
1023	러브	25
1025	추가	25
1026	하품	25
1028	수록	25
1029	안보	25
1030	예정	24
1031	깨닫	24
1032	네이버	24
1033	베스트	24
1034	예고편	24
1035	이름	24
1036	가사	24
1038	흘르	24
1039	카메라	24
1040	마저	24
1041	왠지	24
1042	아까	24
1043	클래식	24
1045	려는	24
1046	찬란	24
1047	그대로	24
1048	소중	24
1051	임팩트	24
1052	우리나라	24
1053	고전적	24
1055	순수	23
1056	분명	23
1057	딱히	23
1058	형식	23
1059	인상	23
1060	그럭저럭	23
1061	키스	23
1062	어색	23
1063	관하	23
1064	즐거움	23
1068	나요	23
1069	도전	23
1070	주의	23
1071	the	23
1074	성장	23
1075	완성도	23
1076	세계	23
1077	적이	23
1078	엄마	23
1079	강하	23
1080	잠시	23
1081	결과	23
1082	인정	23
1083	라인	23
1084	다가오	22
1085	예술가	22
1086	좌절	22
1088	한번쯤	22
1089	조아	22
1090	섬세	22
1091	예술적	22
1093	빨리	22
1094	우주	22
1096	세련	22
1098	찝찝	22
1099	허무	22
1100	굳굳	22
1101	되게	22
1102	없다	22
1103	로맨틱하	22
1105	시퀀스	22
1107	점수	22
1108	인연	22
1109	없었	22
1110	판도라	22
1111	깊이	22
1112	이리	22
1113	안됨	22
1114	던지	22
1115	미술	22
1116	가능	22
1118	막히	21
1119	해피	21
1120	한참	21
1122	방금	21
1123	년대	21
1124	거리	21
1125	촬영	21
1127	무난	21
1129	시리	21
1131	만남	21
1132	포인트	21
1133	할리우드	21
1134	다운	21
1135	ㄹ까요	21
1136	등등	21
1137	여전히	21
1138	두근거리	21
1139	살리	21
1140	아리	21
1141	얼굴	21
1142	다행	21
1143	캐스팅	21
1144	관계	21
1145	기대되	21
1146	음향	21
1147	적절	21
1148	City	21
1149	색채	20
1150	색다르	20
1152	그려내	20
1153	마스터	20
1154	마냥	20
1155	무척	20
1156	길래	20
1158	나이	20
1159	산만	20
1160	아야지	20
1162	언제나	20
1163	안하	20
1164	느라	20
1165	심야	20
1168	정신	20
1170	정보	20
1171	폭발	20
1172	당하	20
1173	비록	20
1174	긴장감	20
1176	영원히	20
1178	그나마	20
1180	담아내	20
1182	방식	20
1183	마시	20
1184	장난	20
1186	반하	20
1187	듯이	20
1188	무대	20
1189	곱씹	20
1190	막판	20
1191	뜨겁	20
1192	500	19
1194	려구요	19
1195	로서	19
1198	여성	19
1200	러닝	19
1201	수도	19
1202	맞추	19
1203	여름	19
1204	감수성	19
1205	여러분	19
1206	휘몰아치	19
1207	나아가	19
1208	감히	19
1210	기쁘	19
1211	헤어나오	19
1212	설명	19
1213	신파	19
1214	에는	19
1215	흥겹	19
1216	해석	19
1217	생애	19
1218	차이	19
1220	Ost	18
1221	차라리	18
1222	타이밍	18
1223	편집	18
1224	반부	18
1225	카페	18
1228	변하	18
1229	남편	18
1230	우울	18
1231	통하	18
1233	별루	18
1234	찾아가	18
1235	테마	18
1236	불구하	18
1237	좀더	18
1238	영화인	18
1241	좋앗	18
1244	한동안	18
1245	음악적	18
1246	접하	18
1247	스타	18
1248	대체	18
1249	풀어내	18
1250	star	18
1251	쏘쏘	18
1252	새해	18
1253	도대체	18
1254	확실히	18
1255	독특	18
1256	플레쉬	18
1257	아무리	18
1258	걸작	18
1260	인하	18
1262	기도	18
1263	익숙	18
1264	달리	18
1265	소재	18
1266	강렬	18
1267	사로잡	18
1268	사라지	18
1269	비교	18
1270	지질	18
1271	지도	18
1272	열심히	18
1273	조합	17
1274	세바	17
1275	거의	17
1276	이면서	17
1277	걸리	17
1278	마주치	17
1279	발견	17
1282	오브	17
1284	고속도로	17
1285	무한	17
1286	끊기	17
1287	감흥	17
1288	으시	17
1289	해내	17
1290	주변	17
1291	하면서	17
1292	공연	17
1293	보통	17
1294	끝내	17
1295	식이	17
1296	하늘	17
1297	따라가	17
1298	종일	17
1299	미안	17
1301	개인	17
1303	설레이	17
1304	싸우	17
1306	다루	17
1307	쏟아지	16
1309	기법	16
1310	나누	16
1311	본지	16
1312	들어오	16
1313	도중	16
1314	지치	16
1315	입장	16
1316	you	16
1317	지키	16
1318	액션	16
1320	야지	16
1321	어디쯤	16
1322	이에	16
1323	깔끔	16
1324	오지	16
1325	시선	16
1327	디즈니	16
1328	능력	16
1329	흔하	16
1330	답답	16
1331	찬사	16
1332	매일	16
1333	존나	16
1334	갖추	16
1335	주인	16
1336	사랑이	16
1337	채우	16
1339	조명	16
1340	지겹	16
1341	먼저	16
1342	제발	16
1343	다양	16
1344	제대	16
1345	지나치	16
1346	지네	16
1347	전작	16
1349	시도	16
1351	시사회	16
1352	연속	16
1353	낚이	16
1354	달려가	16
1355	하하	16
1357	나랑	15
1360	답니다	15
1361	긴하	15
1362	며칠	15
1363	메인	15
1364	매료	15
1366	때리	15
1367	말로	15
1368	달라지	15
1369	단순히	15
1371	섞이	15
1374	알려주	15
1375	최선	15
1376	객지	15
1377	참고	15
1378	영원	15
1381	괜히	15
1383	짜임새	15
1384	장식	15
1385	올리	15
1386	잠깐	15
1387	to	15
1388	방황	15
1389	잘못	15
1390	ㄹ라	15
1391	상당히	15
1392	색깔	15
1393	울림	15
1394	웃기	15
1397	선사	15
1398	이기	15
1400	세기	15
1401	가을	15
1402	탄생	15
1403	본적	15
1404	반짝이	15
1405	편하	15
1406	실력	15
1408	폭풍	15
1410	포장	15
1411	경쾌	15
1413	확실	15
1414	바꾸	15
1415	21	15
1416	굳이	15
1417	쌉싸름	15
1418	아마	15
1419	하면	15
1420	12	15
1421	흠잡	15
1422	박수치	14
1423	떨리	14
1424	완성	14
1425	ㄴ가요	14
1426	국내	14
1428	되돌아보	14
1429	고이	14
1430	재회	14
1431	인도	14
1432	인기	14
1433	인간	14
1434	기회	14
1435	난해	14
1436	가깝	14
1437	따로	14
1438	의도	14
1439	가야	14
1440	을지	14
1441	등록	14
1443	미화	14
1445	시끄럽	14
1446	기쁨	14
1447	충격	14
1448	역시나	14
1449	리뷰	14
1450	저격	14
1452	짱짱	14
1453	하기	14
1455	질리	14
1456	단어	14
1458	for	14
1459	죽이	14
1461	클럽	14
1462	로그	14
1463	압도적	13
1466	영호	13
1467	에스	13
1468	여행	13
1470	예전	13
1471	감도	13
1473	감각	13
1474	똑같	13
1475	아침	13
1477	가미	13
1478	이브	13
1480	늘어지	13
1482	는가	13
1485	특유	13
1486	나머지	13
1487	편안	13
1490	넘어가	13
1493	호흡	13
1494	천문대	13
1496	다녀오	13
1497	잘나	13
1498	이자	13
1499	이지만	13
1500	ㄹ지라도	13
1501	두고	13
1503	자면	13
1504	신랑	13
1506	적당히	13
1507	movie	13
1508	짜릿	13
1509	짜증나	13
1511	are	13
1512	마주하	13
1513	아카데미	13
1514	부럽	13
1515	시대	13
1516	과하	13
1517	과연	13
1519	스찬	13
1520	시각적	13
1521	스스로	13
1522	상업	13
1523	무겁	13
1524	무언가	13
1525	성적	13
1526	본인	13
1527	그다지	13
1528	셉스	13
1530	불쌍	13
1531	벌써	13
1533	기로	12
1534	어지럽	12
1535	억지로	12
1536	정리	12
1537	ㄴ들데	12
1540	인물	12
1541	just	12
1542	love	12
1543	가기	12
1545	참신	12
1546	내요	12
1547	기억나	12
1548	망가지	12
1549	다섯	12
1550	열정적	12
1551	강력	12
1552	상영관	12
1553	다그	12
1554	it	12
1555	감명	12
1556	녹여내	12
1557	라니	12
1558	두렵	12
1559	날아가	12
1560	이기적	12
1561	음에도	12
1562	벗어나	12
1563	아른거리	12
1564	지리	12
1565	리스트	12
1566	겠다	12
1567	달르	12
1569	목표	12
1570	마라	12
1571	그만큼	12
1572	촌스럽	12
1577	지내	12
1578	Good	12
1579	버전	12
1580	신분	12
1581	빠르	12
1582	뚝뚝	12
1584	걱정	12
1586	잔인	12
1587	시각	12
1590	자고	12
1591	지지	12
1592	운명	12
1593	놀이	12
1594	이모	11
1595	졸음	11
1597	담백	11
1598	가끔	11
1599	문제	11
1600	등장	11
1601	good	11
1602	그리움	11
1603	무비	11
1604	의문	11
1605	이드	11
1606	생생	11
1607	넘나들	11
1608	we	11
1609	더불	11
1610	재미나	11
1611	장점	11
1612	불편	11
1613	나위	11
1614	비주얼	11
1615	무섭	11
1616	식상	11
1617	대화	11
1618	적절히	11
1619	자주	11
1620	자막	11
1621	도저히	11
1622	학생	11
1623	me	11
1624	전문가	11
1625	대부분	11
1627	전하	11
1628	일의	11
1629	전형적	11
1630	절로	11
1631	동반자	11
1632	절묘	11
1634	광고	11
1635	두근두근	11
1636	서글프	11
1638	저리	11
1639	위안	11
1640	아픔	11
1641	스치	11
1642	엉엉	11
1644	가히	11
1645	궁금	11
1646	내고	11
1647	기립	11
1649	려요	11
1650	기대치	11
1651	편견	11
1652	애인	11
1655	남성	11
1657	낭비	11
1658	만이	11
1659	구도	11
1660	흘러나오	11
1661	그거	11
1662	시네마	11
1663	베리	11
1665	는다는	11
1666	글자	11
1667	마음속	11
1668	시몬스	11
1670	경우	11
1671	찾아보	11
1672	얼마	11
1673	변화	11
1674	바웃	11
1675	바래	11
1677	망치	11
1679	직접	11
1680	광기	11
1683	오오	11
1684	별거	11
1685	호평	11
1686	바치	11
1687	펼쳐지	11
1688	원스	11
1689	파도	10
1690	진정하	10
1691	면도	10
1692	다음날	10
1693	피곤	10
1694	발랄	10
1695	if	10
1697	적당	10
1698	귀엽	10
1699	부딪히	10
1700	The	10
1701	전드	10
1704	정신없	10
1706	그냥저냥	10
1707	부모님	10
1708	젊음	10
1709	발리	10
1710	포스터	10
1711	전환	10
1712	팝콘	10
1713	부드럽	10
1714	방해	10
1715	모자라	10
1716	진지	10
1717	모처럼	10
1718	청각	10
1719	청년	10
1720	다채	10
1721	신기	10
1722	우산	10
1723	소소	10
1724	역할	10
1725	연결	10
1726	확인	10
1727	영화계	10
1728	옛사랑	10
1729	오가	10
1730	오래도록	10
1731	오르	10
1732	온몸	10
1733	감각적	10
1734	뛰어넘	10
1735	맛있	10
1738	혹은	10
1739	외국	10
1740	shining	10
1741	우연히	10
1742	손잡	10
1743	말르	10
1744	에이	10
1745	앤딩	10
1746	아끼	10
1747	신이	10
1748	경계	10
1749	결코	10
1751	11	10
1752	밀려오	10
1754	격려	10
1755	흠뻑	10
1758	아릿	10
1759	흔들리	10
1760	기가	10
1761	로써	10
1762	압도	10
1764	슬퍼지	10
1766	배신	10
1767	소문	10
1768	잃어버리	10
1769	서사	10
1770	재능	10
1771	OOO	10
1772	상태	10
1773	붙잡	10
1774	깨어나	10
1777	일깨우	10
1778	향연	10
1779	도가	10
1780	잖아	10
1781	반짝반짝	10
1782	사귀	10
1783	자극적	10
1784	이입	10
1786	한해	10
1787	공간	10
1788	이래	10
1789	이끌	10
1790	설정	10
1792	가버리	10
1793	각본	10
1794	드물	10
1795	그립	10
1796	고통	10
1797	그만	10
1798	으로서	10
1799	풍경	9
1802	무시	9
1803	방향	9
1804	틀림없	9
1805	년도	9
1806	황홀경	9
1808	흘러내리	9
1809	해하	9
1810	행동	9
1811	향수	9
1812	낯설	9
1813	환희	9
1814	반응	9
1815	내보	9
1817	밋밋	9
1819	현실감	9
1820	피아	9
1824	수가	9
1825	올드	9
1826	와이프	9
1827	솔로	9
1829	움직이	9
1830	워낙	9
1831	세월	9
1832	수트	9
1833	디테일	9
1834	성인	9
